flow_duration,packets_forward,packets_backward,bytes_forward,bytes_backward,packet_size_mean,packet_size_min,packet_size_max,packet_size_stddev,forward_packet_size_mean,backward_packet_size_mean,packets_per_second,bytes_per_second,forward_packets_per_second,backward_packets_per_second,interarrival_mean,interarrival_min,interarrival_max,interarrival_stddev,forward_interarrival_mean,backward_interarrival_mean,source_port,destination_port,protocol_tcp,protocol_udp,protocol_icmp,tcp_syn_count,tcp_ack_count,tcp_fin_count,tcp_rst_count,tcp_psh_count,tcp_urg_count,syn_ack_ratio,packet_direction_ratio,byte_direction_ratio,initial_tcp_window,average_tcp_window,down_up_bytes_ratio,small_packet_ratio,large_packet_ratio,average_payload_length,bidirectional_flag,internal_to_internal,internal_to_external,external_to_internal,external_to_external,dest_port_is_wellknown,snapshot_index,label
1.7915,870.074,1254.197,940.041,1209.621,1390.27,954.882,814.248,719.058,1099.276,414.09,863.772,1328.015,799.51,462.102,594.374,698.41,1499.265,790.827,652.185,217.926,51234,80,1,1,0,1270.119,1159.723,1404.065,341.081,397.717,941.518,2.7314,2.5389,0.3226,467.539,944.062,1.6791,0.3342,2.0713,1352.263,0,1,1,0,0,0,0,brute_force
0.4164,339.944,1093.273,537.286,1338.785,732.778,933.535,300.246,1464.789,487.592,751.392,507.914,807.058,1428.863,1187.927,469.028,1245.513,687.286,1406.448,664.716,171.685,80,80,0,1,1,127.216,1003.841,340.857,1098.135,256.772,794.396,1.0881,1.8769,2.2635,251.855,399.88,1.5661,0.7538,0.0718,1038.908,0,1,1,1,1,1,0,botnet_c2
0.352,836.634,1484.622,386.564,1228.699,473.992,785.859,1377.388,743.668,1227.412,1248.59,193.675,1118.931,658.078,974.335,850.118,771.154,551.262,79.237,876.806,471.111,80,22,0,1,1,1157.162,1180.566,1284.868,404.081,1118.448,1078.732,2.4905,1.0028,1.0462,483.573,911.884,2.2573,1.3483,0.6962,1171.266,1,1,1,0,0,0,0,web_attack
2.9119,385.52,306.687,1019.429,1018.599,1296.952,994.185,987.964,73.694,948.276,1014.391,38.245,776.446,1155.558,1330.575,1074.838,942.91,136.126,1388.209,762.147,1460.417,53,443,1,1,0,348.804,368.533,1409.884,801.245,1481.322,280.254,1.472,2.6313,2.5836,1065.704,165.698,1.7204,1.1896,0.1088,412.717,1,1,1,0,0,1,0,suspicious
0.9037,640.171,34.805,1422.498,1357.929,1183.053,1093.575,518.623,950.629,744.987,1079.064,150.097,513.915,516.387,333.993,626.096,1370.723,1309.178,984.334,128.105,178.709,443,53,1,1,1,368.802,1180.835,1200.881,129.307,720.626,913.562,2.5147,0.0046,0.2919,304.676,955.442,1.5497,1.8809,1.5338,607.244,0,0,1,0,0,1,0,normal
1.5964,467.675,1107.198,129.309,748.835,368.682,826.317,839.556,1045.136,348.703,482.099,111.862,1319.022,349.793,810.711,799.513,1448.319,1456.741,1413.497,195.562,235.925,80,443,0,1,0,1190.94,1132.503,1011.514,168.466,838.684,1445.092,0.6709,0.946,1.0923,356.667,958.314,1.4277,2.4279,2.5803,1253.242,1,1,0,0,0,1,0,scan
2.1841,938.225,837.302,612.624,414.21,1004.318,325.833,472.578,513.207,1059.1,1491.602,1142.494,717.208,329.332,375.254,1276.903,450.702,1245.08,214.921,394.039,743.476,80,80,0,0,0,372.512,55.251,1041.83,1065.098,1226.156,1349.782,2.0529,0.7315,2.4334,317.633,76.922,2.3284,0.9387,2.1228,1405.632,1,0,1,1,1,0,0,dos_ddos
0.7749,1373.498,979.695,109.258,1088.925,676.762,1242.598,1435.674,946.363,581.085,305.59,789.585,284.249,1001.137,53.807,1457.835,368.968,803.856,392.752,1401.701,499.723,51234,51234,0,1,1,1220.671,202.391,212.352,151.684,699.259,1384.99,1.2103,2.4062,1.5025,1362.732,635.824,1.1661,0.1672,2.732,981.984,1,1,1,1,0,1,0,brute_force
0.1177,1083.075,768.858,890.139,481.728,926.004,52.241,111.108,1092.235,880.8,258.267,1342.974,1200.93,563.1,513.057,521.484,1388.711,890.853,1007.957,1427.517,648.372,53,51234,1,1,0,357.815,1363.446,511.304,1364.715,1489.176,401.506,2.98,0.8998,1.0203,963.06,474.113,1.628,1.3756,2.3038,759.154,0,0,1,0,1,1,0,botnet_c2
0.6412,1290.304,331.799,1434.502,1492.959,325.416,1151.044,99.687,313.032,1239.86,951.368,690.396,1283.494,34.662,903.234,1390.485,409.278,655.807,1479.214,1270.296,1425.495,443,443,1,0,1,1108.771,992.121,1083.007,739.914,1205.357,1191.767,1.0578,0.7915,1.7854,404.042,1013.43,2.7361,1.5162,2.5035,932.394,0,0,1,0,0,0,0,web_attack
2.7089,360.259,1281.285,470.099,1355.551,493.657,860.062,1469.986,1441.104,1100.981,1350.594,1161.822,22.099,1056.736,395.56,704.278,528.872,339.069,879.6,280.72,377.549,443,443,1,1,0,950.398,135.077,1472.977,118.202,77.533,291.706,1.3069,2.5023,2.2349,926.064,62.856,2.0312,2.5081,0.3951,51.016,0,0,0,1,0,0,0,suspicious
0.0831,1317.172,437.22,818.129,788.059,786.519,1434.169,952.412,400.276,1146.541,1260.294,493.249,164.79,276.296,756.919,1283.342,1049.709,992.299,873.821,481.329,32.903,80,51234,1,1,0,150.048,302.009,640.592,869.6,1012.965,1185.923,2.3603,2.4164,1.5069,312.586,682.905,0.3117,1.5312,0.9914,607.632,0,0,1,0,0,0,0,normal
0.7712,1302.627,1137.328,8.163,744.332,425.848,943.682,876.839,813.577,291.91,278.941,23.613,1235.318,241.715,762.004,1387.086,1164.578,1426.09,1355.711,239.411,94.098,51234,51234,1,1,0,289.623,214.788,1391.421,9.002,1149.672,1146.505,0.5585,1.0886,0.5855,415.359,580.414,0.4808,2.6825,2.0891,627.963,1,1,0,0,1,1,0,scan
1.6596,145.563,1109.519,1317.335,1118.456,631.616,454.75,1276.209,1245.721,45.53,574.492,141.61,1108.348,129.078,870.947,314.039,748.874,1202.113,287.473,1117.241,40.82,443,22,0,0,1,27.719,1204.321,1069.17,1341.615,517.199,974.38,2.336,1.9894,0.9977,1058.776,1455.299,0.7749,2.5043,0.508,564.138,0,1,0,1,1,0,0,dos_ddos
