id,flow_duration,packets_forward,packets_backward,bytes_forward,bytes_backward,packet_size_mean,packet_size_min,packet_size_max,packet_size_stddev,forward_packet_size_mean,backward_packet_size_mean,packets_per_second,bytes_per_second,forward_packets_per_second,backward_packets_per_second,interarrival_mean,interarrival_min,interarrival_max,interarrival_stddev,forward_interarrival_mean,backward_interarrival_mean,source_port,destination_port,protocol_tcp,protocol_udp,protocol_icmp,tcp_syn_count,tcp_ack_count,tcp_fin_count,tcp_rst_count,tcp_psh_count,tcp_urg_count,syn_ack_ratio,packet_direction_ratio,byte_direction_ratio,initial_tcp_window,average_tcp_window,down_up_bytes_ratio,small_packet_ratio,large_packet_ratio,average_payload_length,bidirectional_flag,internal_to_internal,internal_to_external,external_to_internal,external_to_external,dest_port_is_wellknown,snapshot_index,label
thugs-0011,16.687,21.3051,17.1234,20.1474,17.5425,22.4784,17.6106,16.7399,15.5521,21.4454,19.6042,21.3373,20.4145,21.8963,21.8149,21.4813,20.2874,18.8684,18.8502,20.743,17.3662,20538,3389,1,0,0,21.4943,19.9504,17.1065,22.2973,16.3984,18.3506,18.6987,22.7203,22.3571,21.7984,19.2793,16.6343,17.3585,20.0885,18.9784,1,0,0,1,0,1,0,scan
thugs-0012,28.2655,25.1029,31.9168,30.008,28.5689,32.1587,29.1172,30.4604,32.3788,32.5081,31.4291,30.7686,30.3033,31.006,25.838,30.237,25.2187,27.9799,26.8623,25.8988,31.4856,28913,3389,0,1,0,31.916,33.8001,28.7712,34.2861,21.2231,27.0715,28.131,32.6543,32.8056,29.5022,31.6634,27.6553,30.7845,28.0877,31.0914,0,0,1,1,1,0,0,dos_ddos
thugs-0013,41.3219,36.3485,39.2619,38.4926,38.3747,36.5794,37.7959,38.8746,38.0197,38.6491,36.9763,42.0561,34.393,41.2524,42.404,44.6199,39.9826,40.7001,38.5086,38.846,41.272,41135,80,1,1,1,37.6341,38.2402,39.8227,39.6165,38.7993,36.3362,39.5714,42.3028,42.6541,39.2216,40.2979,34.3406,39.2711,36.2662,41.3871,0,1,0,1,1,1,0,brute_force
thugs-0014,61.3531,61.1324,61.7007,59.9072,56.2385,65.63,60.7282,59.4313,58.3233,58.2328,56.324,56.8482,61.002,59.2019,60.8904,57.7889,61.069,58.6267,51.9265,55.6121,60.1085,43595,3389,0,0,1,56.8848,61.3211,55.8678,58.5801,57.3466,53.7357,62.25,62.7411,62.9095,63.0016,58.4592,60.3297,61.2009,63.066,52.424,0,1,0,0,0,0,0,web_attack
thugs-0015,51.6301,53.0689,46.5539,44.0841,43.6489,48.6681,50.9822,55.3553,48.8937,52.8929,53.2393,46.8659,51.5445,44.9003,54.6015,50.1393,53.7427,51.6461,52.1668,48.1414,50.6693,41499,80,1,1,1,49.2645,47.5236,53.4972,45.0321,52.0254,51.998,53.3391,52.5426,56.5774,53.4009,52.7704,49.328,50.544,51.172,49.6819,0,0,0,1,1,0,0,botnet_c2
thugs-0016,21.5736,17.7583,21.8051,16.1142,23.2729,13.0577,13.851,14.5104,22.7565,18.8166,21.9111,16.898,17.348,20.9779,22.3737,20.1235,24.8574,26.7695,22.3787,21.0593,12.0552,27692,3389,1,0,0,14.9601,18.5597,16.843,18.223,20.8636,13.9716,19.0583,19.1331,19.5733,19.6569,17.2105,17.6779,22.0306,19.3898,16.1541,0,0,1,0,0,1,0,scan
thugs-0017,26.1287,28.9338,27.5525,32.7491,33.0911,31.1866,37.8218,28.3822,33.842,26.0635,30.4107,28.4279,33.3373,28.9359,31.241,28.7327,29.2904,32.8641,31.0049,29.616,22.6807,49145,443,0,1,1,28.5257,34.7885,29.5115,27.3005,32.1781,28.3109,26.3759,30.795,32.8652,28.0291,29.9553,28.9522,26.8116,34.9201,29.6771,1,0,0,1,0,0,0,dos_ddos
thugs-0018,39.5529,41.1103,36.8992,33.8773,39.1305,38.7703,37.4747,42.2246,37.4958,38.9152,33.4512,46.2278,40.3726,39.1481,34.0187,35.9384,36.5938,43.2809,39.2492,41.7643,38.7241,26517,22,1,1,0,45.8558,41.1144,37.8931,38.1497,40.6021,36.3115,39.5059,38.9944,40.6006,40.9717,37.1605,39.31,36.6604,37.127,47.2362,1,1,0,1,1,1,0,brute_force
thugs-0019,56.3307,58.5046,58.5748,60.4221,61.7244,57.1562,63.2855,59.1477,61.9102,60.4823,61.0412,59.5329,57.4493,53.7278,63.3889,60.0579,67.8015,64.9478,54.6064,60.8257,57.1099,9065,22,0,0,0,58.8845,53.7795,62.92,57.6863,59.2476,59.225,63.4636,61.5023,67.3673,63.5564,60.8632,59.874,61.1538,63.1225,62.5097,1,0,1,1,1,1,0,web_attack
thugs-0020,55.877,51.4684,51.4028,47.3697,50.9424,48.6141,50.681,46.5258,47.5207,49.6415,48.9332,50.3971,55.8523,55.7601,48.5834,53.89,45.0889,51.2509,48.5997,46.9333,46.435,41613,80,1,0,0,45.198,51.1096,48.2801,50.9362,55.9877,48.8909,48.7379,50.6312,47.1681,46.0821,48.5581,53.7377,50.2678,48.9722,49.5848,0,1,0,0,1,1,0,botnet_c2
thugs-0021,16.0698,20.3468,19.2653,17.9784,21.8435,19.5698,20.5871,15.9652,22.3698,18.6725,18.457,19.954,17.3084,24.848,21.3912,22.3481,13.6632,26.5747,22.6681,19.6477,19.6206,55791,22,0,0,1,17.9676,17.1013,22.4723,21.0091,18.8432,22.3223,21.2323,15.0231,13.3386,19.2091,20.0645,18.9539,16.6827,22.4482,23.0531,1,1,0,0,0,1,0,scan
thugs-0022,34.7784,33.2369,23.6031,27.5282,28.2973,35.2438,31.6128,29.3504,27.0486,22.1384,29.3464,30.8429,28.444,30.6461,32.0888,33.9893,24.6144,28.5402,36.8092,29.7626,30.2519,36128,80,0,1,0,28.4469,24.8318,30.8696,30.6662,26.9378,25.599,37.4291,36.2272,24.6618,35.2563,32.1352,23.4381,31.8802,28.9636,31.145,1,0,1,1,1,1,0,dos_ddos
thugs-0023,42.1981,45.2609,34.3442,42.7704,32.7722,41.8333,43.9541,39.7996,39.1686,35.6874,37.8493,42.2833,44.111,44.9806,39.2164,38.677,40.5064,40.8952,38.9993,35.8075,40.388,43589,3389,1,1,0,37.0938,39.7759,39.3346,42.5389,39.3427,34.6517,39.5128,38.862,39.2992,44.3542,35.3925,36.5698,41.0329,39.4466,43.3206,1,0,1,1,1,0,0,brute_force
thugs-0024,59.1801,54.4642,61.947,60.2188,59.6274,55.1931,58.7816,60.0094,60.8458,65.4637,64.3288,66.392,60.695,58.6023,55.9631,57.1579,67.5204,60.1161,63.18,61.9207,57.4987,20504,22,0,1,1,59.2343,60.2443,57.155,55.7911,58.2835,58.5154,58.6497,57.6901,61.3437,59.3541,54.4501,63.6468,54.4567,56.8903,62.5597,1,1,0,1,0,0,0,web_attack
thugs-0025,50.0758,51.3202,54.769,54.7642,51.6671,47.0169,52.5122,50.253,50.422,49.2676,49.4613,53.779,48.9823,46.0991,53.9447,55.0498,49.8802,47.9875,48.7235,52.0043,51.0626,18681,80,0,1,0,48.2676,52.2857,44.1369,48.5527,50.6115,47.0267,57.7052,44.306,51.0635,51.9707,49.8936,53.6975,53.1611,53.1479,45.7951,1,0,0,0,0,1,0,botnet_c2
thugs-0026,26.7951,23.3685,18.8925,13.464,18.2957,17.5633,24.9971,17.0361,19.701,16.8037,22.7184,22.6519,18.7689,18.5793,15.0561,24.7655,24.2234,15.137,20.0698,23.7042,25.8912,38448,443,1,1,1,23.3388,21.9604,20.688,21.6574,22.4224,21.1678,24.3161,14.9646,16.0177,12.9862,15.7277,16.6131,20.4928,19.1523,19.8093,1,1,0,0,1,1,0,scan
thugs-0027,33.1222,30.6931,32.8567,28.3233,25.9958,31.6326,27.9905,23.5738,32.7953,28.7721,26.9563,24.9337,29.504,30.8269,29.2025,29.2463,25.9947,36.7923,30.6679,30.9919,28.2543,33576,3389,1,0,0,28.421,29.4214,26.7645,28.4657,34.3403,27.2706,31.5331,30.9714,36.9415,29.6056,29.9227,29.1273,28.0483,29.4967,24.4915,0,0,1,1,1,0,0,dos_ddos
thugs-0028,38.596,38.3533,39.1025,45.1027,47.8223,36.1059,39.0168,38.9718,47.8281,38.9651,31.2216,33.8995,37.0792,42.1555,42.0631,42.7153,34.7589,39.3749,45.1338,41.175,36.2227,3730,3389,1,1,0,46.5238,38.2542,38.5164,46.8349,36.425,39.0623,36.8807,41.0282,32.971,34.2647,42.7494,39.3762,44.3766,46.2035,37.6815,0,1,1,0,1,0,0,brute_force
thugs-0029,62.8863,54.6593,61.0767,63.9349,57.82,58.0731,59.4769,59.7846,55.5662,57.0227,58.7997,59.4117,56.2208,67.1814,58.6919,57.3228,59.3288,57.9703,63.1324,63.5241,55.7005,18894,53,0,1,0,55.6304,62.708,58.9377,60.7851,61.4804,59.3363,53.6421,63.1767,61.2342,63.4185,63.1088,63.9323,54.7559,58.6132,62.8091,1,1,1,0,0,1,0,web_attack
thugs-0030,50.3825,48.1651,50.5269,48.1789,48.0959,50.6254,48.8849,53.2259,52.4309,48.517,44.4511,51.8751,44.8838,49.4828,47.7071,48.27,53.5023,49.6382,48.9176,50.8381,49.9247,62109,443,1,1,0,49.0734,51.5966,48.4291,51.7371,51.5519,46.2725,50.1725,50.4467,53.5515,50.3689,49.3348,45.2818,51.0501,47.3461,49.3466,0,0,1,1,1,0,0,botnet_c2
thugs-0031,22.3331,19.6635,21.1704,21.1683,20.8995,17.4206,17.1124,19.7954,20.3543,15.8973,20.8551,19.318,22.8406,23.3534,20.743,20.1086,19.7898,18.0789,17.2216,17.6498,17.8293,44413,443,1,0,1,20.1632,18.3171,19.4076,18.2662,20.7053,15.9443,29.0693,18.2524,22.4531,25.7983,18.2263,19.6186,19.0164,22.4643,26.0378,1,1,1,1,1,0,0,scan
thugs-0032,31.6083,26.4324,28.4771,30.3198,27.2486,30.9343,28.4595,29.6133,30.2737,32.4174,26.4373,27.8604,29.5879,32.7502,24.6804,28.5067,30.7119,28.9661,30.8246,31.0927,32.074,9606,80,1,0,0,32.6663,30.4589,30.4605,29.3292,30.7577,31.3113,30.8643,28.4733,27.3958,30.1007,29.4707,34.6819,32.4396,27.9925,28.0165,1,0,1,0,0,1,0,dos_ddos
thugs-0033,36.5304,41.7323,42.7864,38.5213,38.5353,39.43,38.0961,37.4546,40.9763,42.5406,37.7593,40.7846,43.8524,42.886,39.5143,38.9354,38.2933,44.606,41.6771,41.255,37.1894,45132,3389,1,1,1,38.6574,39.6289,38.0899,42.9797,36.3928,37.3351,36.2906,35.7919,43.1371,37.2144,38.0043,42.7043,45.325,36.3057,38.0455,1,0,0,0,0,1,0,brute_force
thugs-0034,59.1102,59.3864,56.4701,54.5812,64.1564,62.636,59.9321,58.8433,65.1632,58.415,61.2323,58.1637,56.4234,61.9035,63.7162,63.5463,59.9947,61.4231,56.7787,60.2505,57.1941,46028,53,1,0,1,60.6312,59.2355,60.4799,58.6097,68.1577,60.9418,64.7436,57.2912,61.8843,53.1579,63.9569,55.5233,61.2581,61.4922,58.1728,1,0,0,0,0,1,0,web_attack
thugs-0035,57.3937,46.0562,51.7716,49.5687,49.5907,47.7926,50.5518,51.6143,45.6566,53.6531,52.7115,52.2636,52.0779,53.3068,45.7728,56.961,49.6174,48.8179,47.6035,46.5335,47.8222,52064,3389,0,0,1,48.1691,46.1148,52.2682,52.8579,46.1747,46.897,48.7308,51.5049,51.3353,52.2394,49.7159,52.783,51.7193,50.5316,52.0236,1,0,0,1,1,1,0,botnet_c2
thugs-0036,17.4459,20.3032,19.5687,19.2832,18.7106,20.6198,18.2415,13.5083,18.0742,18.4103,20.7017,24.4636,18.8209,19.0191,24.021,20.7415,18.5314,16.8315,20.1532,19.1085,21.3403,7248,22,0,1,0,17.2011,23.2695,20.6829,18.411,26.898,19.1903,23.1893,15.7639,20.0745,22.282,18.4012,21.6304,19.3078,15.8562,23.5692,1,1,1,1,0,1,0,scan
thugs-0037,28.028,27.8792,31.2067,29.9708,31.2732,32.824,29.9056,33.9425,32.2937,35.2856,31.591,30.8158,32.1282,31.8042,32.0936,32.6291,29.389,27.2799,34.2008,29.0266,28.8966,33216,443,1,0,1,26.4885,28.3986,29.3425,33.3108,29.0288,30.189,32.0282,26.5854,31.8737,32.5687,38.6258,32.2478,28.3465,30.0667,31.2192,0,0,1,0,0,0,0,dos_ddos
thugs-0038,32.2117,37.345,42.1813,40.7209,38.077,41.8394,44.1094,44.194,34.8739,42.7485,42.261,42.0576,42.1144,40.0285,46.0063,36.6743,44.4548,39.8811,40.2721,38.9443,40.6447,17251,22,1,0,0,39.4276,36.296,37.2494,40.2445,40.6502,40.8716,41.2662,42.9217,42.1645,41.6538,39.6317,43.8784,44.4036,39.3123,35.0524,1,0,0,0,0,0,0,brute_force
thugs-0039,66.0422,59.6074,59.7285,58.4235,63.7542,59.7751,63.9722,64.6122,61.7951,58.27,58.2279,61.84,52.769,64.262,64.8007,63.3731,55.7629,57.6807,61.9955,63.2325,57.9554,23413,80,0,1,0,58.5686,61.6642,58.9946,64.8055,58.6966,63.9195,58.5989,57.2357,60.7147,62.1521,58.9091,63.7931,57.2163,63.8281,60.4968,0,0,1,0,1,1,0,web_attack
thugs-0040,49.1816,51.9381,51.3867,48.2729,49.1765,49.532,50.4671,54.318,55.8395,50.2429,45.7368,52.4761,50.9531,50.3503,55.2344,50.7065,46.6935,51.0372,50.8591,48.0934,48.5049,45918,22,0,1,0,47.8134,48.7356,48.373,47.8301,49.8435,56.1495,53.156,46.7496,47.2694,54.0168,43.9623,50.6743,47.1719,48.7095,46.6001,0,0,1,1,0,0,0,botnet_c2
thugs-0041,21.3125,20.217,22.3508,20.4315,16.6916,27.8335,19.2622,22.0462,17.6143,21.0917,25.7102,16.7619,17.286,18.8448,17.1093,21.5019,19.7251,19.4586,21.2359,22.6604,20.8968,27629,53,0,1,0,24.5025,19.5231,19.8354,19.972,21.6191,14.1871,19.628,19.9808,17.2954,12.5506,16.6409,15.7418,22.6883,19.5477,17.4917,0,1,0,1,1,0,0,scan
thugs-0042,28.9172,30.715,31.8561,30.7998,32.1143,37.2177,30.1452,28.8371,30.2922,30.6085,31.8034,33.0087,30.2692,33.1946,35.3785,24.6292,32.7984,31.15,32.4652,32.0041,29.1112,1714,3389,1,1,1,25.3085,32.8659,32.5242,31.3902,27.287,29.2354,30.5602,33.5364,31.2091,27.2313,28.4342,28.0265,28.2427,27.8823,33.2941,0,0,0,0,1,1,0,dos_ddos
thugs-0043,36.9177,41.8543,40.7318,41.4709,44.4319,38.4094,36.5627,40.862,40.6378,41.7567,42.5375,37.5377,38.3096,37.0623,38.4383,38.3552,40.9114,34.772,36.7377,44.4996,41.5551,48867,80,0,0,0,41.2103,37.841,43.0711,41.7272,40.56,38.3822,41.665,38.7947,46.8895,35.4932,34.9642,39.7359,42.9079,39.049,40.9972,1,0,1,1,0,1,0,brute_force
thugs-0044,58.6269,55.8458,64.0263,58.8118,59.0912,58.3199,61.7651,54.9244,63.6677,53.4559,58.7294,58.3632,61.8214,60.2614,62.4639,57.1112,55.7675,61.0727,55.7395,59.9254,62.847,40837,3389,1,0,0,60.4336,57.5522,66.8692,60.8126,62.2054,57.6373,58.1399,61.6062,60.096,59.5219,56.9682,62.6684,60.1114,56.9687,60.2133,1,0,0,0,0,0,0,web_attack
thugs-0045,47.9703,50.7479,53.6632,53.0533,52.4869,55.2803,55.4439,49.6409,51.9595,54.9827,51.1067,53.2728,52.8141,52.842,44.2822,49.018,56.2658,46.7177,48.2428,49.1868,55.6562,57409,53,0,0,0,43.0963,51.4581,49.3158,55.5937,50.3198,48.6123,47.2585,51.9237,53.7941,49.8365,47.3813,47.802,44.1995,53.9693,46.9024,1,0,1,1,0,0,0,botnet_c2
thugs-0046,28.4929,18.832,23.7131,24.4908,22.5637,21.9262,13.7354,14.7745,23.0417,23.5514,21.4728,18.2199,16.9593,14.6971,25.7095,16.9275,18.6051,16.2667,19.0918,18.8827,18.3473,30138,80,0,0,1,18.8134,22.0695,21.7167,16.9104,23.365,23.1574,19.7246,16.6373,20.5575,17.6732,19.6655,21.0555,18.9059,18.8394,16.1551,1,1,0,0,1,0,0,scan
thugs-0047,21.6145,23.9367,33.7121,30.3735,34.0957,30.2364,28.8442,29.702,29.4041,29.2823,27.4077,31.1329,27.3553,32.9104,30.1309,25.2359,35.5382,28.4958,27.86,31.6517,29.7315,54836,53,1,0,0,36.7229,33.898,30.5123,29.9476,27.4933,31.5846,30.5201,31.7728,33.3207,28.2816,26.7102,32.3062,27.6203,28.7149,27.5723,0,0,1,1,1,0,0,dos_ddos
thugs-0048,37.2295,35.6057,43.4878,33.5453,37.0547,47.6805,41.3991,38.6865,45.0058,39.8838,42.5132,40.7262,38.061,46.7809,40.7414,35.5103,36.0245,40.7309,39.0164,39.7482,37.1304,11146,22,0,1,0,36.8212,41.3068,39.2046,38.2953,39.2887,43.6025,36.1398,39.8344,43.009,43.667,44.2087,35.7696,42.1975,40.9883,34.9648,0,0,1,1,0,1,0,brute_force
thugs-0049,51.846,61.6197,58.8803,61.3966,55.3396,57.518,60.9898,63.3546,57.3521,59.4123,59.6202,60.4762,56.1286,55.8427,62.506,57.2639,61.0481,59.9343,60.331,59.2998,59.6992,54653,443,1,1,1,62.5718,59.7124,55.4832,57.0852,57.1879,61.199,61.1621,62.2362,60.8256,62.0864,53.1312,59.4143,59.6912,52.8896,59.618,1,1,1,0,1,1,0,web_attack
thugs-0050,45.7166,52.0621,48.3883,50.9651,49.7517,55.1409,52.9421,46.7857,47.0206,49.0983,54.8045,50.9052,54.1841,52.4271,49.5536,44.7042,47.6834,54.2414,51.1124,54.6545,48.2802,27794,443,1,0,1,48.1094,44.6023,47.3969,49.2473,49.1067,50.8493,52.4086,50.5832,53.3895,52.6829,52.1204,48.9834,47.1856,53.5696,46.1009,0,0,0,1,0,0,0,botnet_c2
thugs-0051,26.6742,14.3669,25.8048,17.8554,14.8202,19.2244,22.0483,21.723,21.2948,17.6696,20.3128,15.3044,24.4106,12.9146,16.7219,22.5535,19.4664,18.8576,18.64,17.1815,17.9809,7769,22,0,1,1,24.6129,19.261,22.8046,24.8587,18.5097,24.754,20.2739,25.0911,15.895,19.1533,20.7619,20.9933,18.2926,14.9515,19.9135,0,0,0,1,1,1,0,scan
thugs-0052,28.6825,32.388,28.422,32.3687,30.6026,29.942,26.6434,28.7804,34.51,23.985,35.321,27.726,26.9243,30.2393,30.7402,26.6704,30.6562,31.9801,26.1717,29.6981,31.7593,46397,443,1,1,0,29.3212,29.4623,29.2185,32.3394,31.9671,28.732,25.0915,18.35,33.9264,27.0724,28.3749,29.042,33.8268,34.6483,28.2582,0,1,1,1,1,1,0,dos_ddos
thugs-0053,41.447,37.0123,40.4016,41.7701,37.4134,41.552,37.4449,39.026,37.5252,38.6187,36.3415,41.927,40.2289,41.4461,41.2697,42.8061,42.8869,40.9103,42.9577,45.868,39.7983,44996,3389,1,0,1,41.3789,40.791,40.3014,36.7974,41.8272,42.9652,38.4729,43.3961,43.1561,42.6472,41.8514,40.3728,37.9142,44.3889,42.6051,0,1,0,0,1,1,0,brute_force
thugs-0054,60.7368,65.3557,58.4796,59.5237,58.1592,56.9211,64.6718,59.7509,57.4144,59.1415,59.8057,56.4623,61.8474,61.948,60.039,64.2044,56.0755,59.1442,63.8693,61.7249,59.4745,8482,443,1,0,1,56.9886,62.3237,56.7241,60.638,59.9954,57.5543,61.4498,58.9798,60.6466,63.9343,58.2817,59.6327,58.567,59.1416,60.209,1,1,0,0,0,1,0,web_attack
thugs-0055,48.955,52.6741,48.5681,51.7986,53.5337,52.0582,52.7057,50.613,52.1248,44.7354,49.3368,50.7503,50.7308,51.9263,53.7996,51.6198,53.1983,50.2325,47.3089,50.4208,53.3881,8953,3389,1,1,1,46.678,49.2821,49.4929,53.218,46.8527,48.317,46.4432,47.7376,48.3495,51.6187,54.9618,45.6866,52.4241,47.9595,45.8786,0,0,0,0,1,1,0,botnet_c2
thugs-0056,18.0429,12.419,24.3087,17.6766,22.77,23.3871,19.1358,20.6849,17.6856,21.3938,17.2214,27.0815,20.7993,17.9425,19.3662,17.7013,20.4996,18.3335,19.6738,17.5194,24.1032,28604,53,0,1,1,20.5613,16.2378,12.9741,19.2616,19.0198,18.4376,20.8895,23.9743,13.2596,19.641,16.5296,18.3194,23.2883,19.7924,21.1261,1,0,1,0,1,0,0,scan
thugs-0057,29.9856,30.2838,34.1533,35.3861,34.8884,23.9491,25.4974,27.4425,31.3874,28.5748,31.002,31.4466,25.7527,24.0894,31.1113,28.7426,28.9319,31.2465,30.3445,32.4836,30.8987,9667,53,1,0,0,33.5807,30.4063,33.7561,26.4175,32.1609,25.5792,32.4971,33.0023,25.0584,26.9071,28.0824,29.9429,31.2725,32.5433,25.9863,0,1,0,0,0,0,0,dos_ddos
thugs-0058,40.1904,40.6526,38.5249,38.7942,34.6854,40.3492,38.4338,35.1988,45.4344,39.5761,38.4266,40.5837,44.0778,42.0852,41.0605,36.9732,38.9854,43.4316,40.7907,41.3965,45.1026,41090,3389,1,1,0,35.8873,34.7612,42.5716,36.2975,38.7658,36.1703,40.0531,37.622,37.4884,38.6953,43.0801,47.2784,40.1796,41.1704,36.4093,0,0,0,1,0,0,0,brute_force
thugs-0059,63.8133,60.8555,63.2081,56.0817,61.5887,61.8221,57.712,57.7512,60.0082,59.2706,61.3863,60.9225,62.6941,60.6699,62.0551,57.5781,60.6453,58.0662,57.194,53.5655,62.4779,4521,22,0,0,1,63.7858,59.9401,59.1995,58.062,58.3282,64.3441,62.6959,63.4095,59.4361,65.354,58.0334,58.8383,55.3979,58.8014,61.8667,1,0,1,1,0,1,0,web_attack
thugs-0060,49.9519,44.3827,49.8516,50.6936,45.5277,50.8135,50.2598,49.8294,51.1678,53.1799,49.1783,45.7439,49.7292,52.2869,52.8253,47.7548,51.4423,47.5657,47.584,52.1678,48.9406,16422,22,0,1,0,54.6339,51.0077,45.9893,50.0381,49.2019,47.1565,48.9766,49.7848,50.051,48.6856,49.5894,57.2088,53.3299,51.061,45.8132,1,1,1,1,0,0,0,botnet_c2
