id,flow_duration,packets_forward,packets_backward,bytes_forward,bytes_backward,packet_size_mean,packet_size_min,packet_size_max,packet_size_stddev,forward_packet_size_mean,backward_packet_size_mean,packets_per_second,bytes_per_second,forward_packets_per_second,backward_packets_per_second,interarrival_mean,interarrival_min,interarrival_max,interarrival_stddev,forward_interarrival_mean,backward_interarrival_mean,source_port,destination_port,protocol_tcp,protocol_udp,protocol_icmp,tcp_syn_count,tcp_ack_count,tcp_fin_count,tcp_rst_count,tcp_psh_count,tcp_urg_count,syn_ack_ratio,packet_direction_ratio,byte_direction_ratio,initial_tcp_window,average_tcp_window,down_up_bytes_ratio,small_packet_ratio,large_packet_ratio,average_payload_length,bidirectional_flag,internal_to_internal,internal_to_external,external_to_internal,external_to_external,dest_port_is_wellknown,snapshot_index,label
v9-0011,12.9733,14.4494,12.5331,14.1561,11.4869,7.1702,2.0643,8.9754,6.9014,4.3677,12.5913,11.556,8.6806,2.3744,7.7101,4.7969,13.0491,9.2541,13.5129,2.9638,5.1433,9594,3389,1,1,1,9.2324,7.8984,7.3793,11.7185,12.3398,13.2002,13.0444,6.9551,8.7089,13.648,6.7718,10.9129,11.0146,7.9435,10.215,0,1,1,0,0,1,0,normal
v9-0012,10.3078,9.4098,12.3854,7.2379,10.4408,9.3078,7.7902,13.8944,9.3873,8.4169,12.8588,8.9666,9.4038,7.5602,11.9404,11.7568,6.9816,6.6001,11.0525,11.6273,8.4037,33582,443,0,0,0,10.9857,9.5115,11.0363,14.2948,7.023,5.3997,11.1226,14.1801,9.0078,5.6486,3.0278,11.7194,13.6873,5.4328,6.8935,0,1,1,0,0,0,0,normal
v9-0013,15.7967,8.1841,14.8891,6.1586,9.2302,10.6559,9.4603,7.7137,6.7122,3.9043,13.6355,15.5432,8.8481,14.2408,14.2976,14.1873,3.9059,11.228,15.9603,9.5373,11.9965,60540,53,1,1,1,13.6178,9.6192,5.7298,12.4109,11.0261,7.1883,11.4682,15.4308,5.9131,4.2291,6.5743,7.7488,11.2826,11.8314,7.1566,1,0,0,0,1,1,0,normal
v9-0014,7.6448,14.3034,7.2166,9.8657,7.2404,15.3223,11.2516,6.3392,8.8723,7.8723,9.483,5.4341,10.485,9.7236,11.2196,9.0611,6.9016,9.5653,16.8923,7.4153,10.667,3436,3389,0,0,1,6.7139,9.7795,9.9988,11.9088,13.2318,13.3256,13.2302,12.0305,4.113,7.088,8.2388,7.6724,7.3813,12.0597,7.3131,0,0,0,0,0,0,0,normal
v9-0015,10.231,11.8406,12.6736,4.4911,4.7338,13.6454,16.2573,8.5216,8.8787,13.5214,15.388,11.3103,8.6376,10.1311,14.2905,8.9603,10.9919,15.1169,7.6028,10.9294,14.2216,38702,80,0,0,1,9.465,10.177,8.2387,15.004,11.4096,8.7156,11.8744,11.5478,12.9625,10.2636,5.1192,7.7524,12.5685,9.5791,10.4071,1,0,1,0,0,1,0,normal
v9-0016,14.0908,8.071,5.0336,12.6911,9.9766,10.8496,12.1447,9.1734,9.6914,6.1586,8.6876,6.68,13.0449,9.6449,9.6067,11.4348,9.5222,16.1618,12.8658,8.7364,8.6052,16060,3389,0,1,0,9.2956,4.2162,12.5434,12.7022,5.0824,5.9763,10.3899,3.6442,6.278,6.3046,9.833,14.0533,8.8322,7.6299,8.9011,0,0,1,1,0,0,0,normal
v9-0017,11.7359,8.3872,11.229,9.6952,5.4103,6.4373,7.308,10.6562,9.0521,7.6004,7.7131,13.0315,8.4872,13.9157,11.6144,6.0759,13.7938,11.3143,9.4504,10.4671,11.5896,7129,80,1,1,1,12.3688,5.6505,11.184,8.0237,9.2663,8.3074,10.9797,10.3166,6.8623,10.5063,7.4866,5.6651,12.6276,13.4479,3.326,1,0,0,1,0,0,0,normal
v9-0018,71.4093,70.0744,73.1311,77.5468,71.3806,69.3599,66.2646,70.6095,73.5151,71.0537,66.96,73.3105,71.2417,73.8217,74.028,71.8889,71.377,71.7365,71.3102,65.5683,66.9891,26008,443,1,1,0,69.4427,66.6468,75.822,68.7224,73.5452,75.0726,69.4504,69.3073,67.0737,70.8713,67.5736,69.9234,71.7982,66.8192,72.4153,1,0,1,0,0,0,0,suspicious
v9-0019,9.1013,9.1376,9.3472,12.904,8.7779,14.0816,12.2121,11.5997,16.6046,15.985,14.4622,7.8751,9.527,7.0487,8.9487,10.3278,8.2155,11.1484,11.6733,12.8591,10.5584,26683,3389,0,1,1,8.8083,8.4106,9.1618,13.3657,10.6278,10.1019,8.207,10.0777,8.1381,8.7738,10.4365,8.9017,5.8582,10.769,6.8934,1,0,1,0,1,0,0,normal
v9-0020,7.3117,8.0352,11.3745,9.5206,8.2845,13.17,10.0676,10.4585,13.7859,16.22,9.3376,13.8793,1.4488,9.3515,12.4832,9.7546,6.5451,11.4345,11.3727,6.4956,13.559,43448,443,1,0,1,11.2321,14.5078,9.7764,13.2917,8.0134,13.6432,8.8775,11.3312,9.0435,10.333,10.292,11.6513,8.824,13.3115,11.4188,1,0,1,0,0,0,0,normal
v9-0021,13.7995,9.5887,9.7004,9.4911,14.7405,10.1398,8.2676,10.268,11.1349,7.3719,12.9514,9.236,11.8192,8.6007,12.815,9.1018,14.2193,9.93,9.789,6.1301,9.1803,64191,22,0,0,0,7.6343,8.1979,10.7152,9.7611,8.0059,9.4354,11.71,14.386,12.5157,8.6516,13.2172,11.492,12.4266,8.7081,10.3583,0,1,0,0,1,1,0,normal
v9-0022,14.4427,8.3624,10.5154,13.8465,10.954,9.7577,8.7818,13.837,11.1493,2.8558,8.0831,12.7612,5.7528,8.83,9.7551,8.9871,1.9433,11.1863,13.9257,9.2311,6.2067,54516,53,0,0,1,9.5957,9.8601,7.6996,6.3205,13.6297,15.5691,12.6034,13.9446,12.3113,9.3115,8.5152,12.7014,9.1595,14.1824,6.1244,0,1,1,1,0,1,0,normal
v9-0023,14.0213,10.912,8.6965,8.3738,10.9221,12.8894,5.2156,13.6723,9.1424,11.816,15.5188,10.4398,9.7586,9.4717,13.0355,8.1878,7.9531,8.8607,5.3908,11.2327,8.8363,63585,80,0,0,1,14.1362,8.6468,11.3529,10.365,12.7907,7.5131,7.7261,11.139,8.55,10.451,12.3886,12.0745,7.2285,10.6459,8.24,0,0,0,0,0,1,0,normal
v9-0024,10.8765,15.5476,12.998,13.6352,0.9778,10.1022,9.0329,10.2567,13.0182,15.3803,10.7658,8.6073,7.4679,6.3495,9.2635,7.7522,5.8176,11.8051,5.8946,13.5795,13.0628,4415,3389,1,1,1,14.0708,2.6335,8.4869,6.4334,14.4725,3.7017,10.6787,11.2426,9.4775,10.4901,6.7715,11.9669,11.73,11.0915,10.9616,0,1,0,0,1,1,0,normal
v9-0025,10.0044,7.6318,5.9223,8.6118,3.7832,9.2875,10.5712,15.526,7.7045,10.5533,12.1984,10.1564,6.8282,9.5347,9.5485,4.0709,12.028,12.5595,12.4572,7.4898,13.787,7069,22,0,1,1,16.2794,6.9901,13.0248,12.8448,13.3576,11.392,6.3864,5.8638,5.2564,4.9439,7.7761,9.3424,10.5024,11.5521,9.8895,0,1,0,0,1,0,0,normal
v9-0026,11.2184,5.7179,6.7955,12.4433,12.0006,11.8563,12.8706,9.064,11.0477,11.4403,5.9657,15.5581,13.205,13.9013,10.2217,8.2868,8.413,11.4225,5.981,12.5542,11.4307,31316,53,0,0,1,13.3801,7.472,5.7662,12.4452,11.4223,8.5921,8.336,11.2425,11.3132,9.9077,10.7576,13.5405,11.3482,6.2464,9.1987,0,1,1,1,0,0,0,normal
v9-0027,70.4858,70.1584,63.8253,64.2703,67.5974,71.4115,67.3662,66.7651,70.5257,71.9764,69.7209,67.1532,77.4449,68.5085,70.0379,71.7355,68.8887,72.714,77.1887,69.0627,73.1665,5840,443,1,0,0,63.0552,71.7632,67.7471,68.9454,65.2905,69.2681,67.2465,69.2327,75.58,73.2642,72.978,65.121,64.7623,73.9742,75.4616,0,1,1,1,1,1,0,suspicious
v9-0028,10.2001,15.4736,16.7981,10.4006,9.3572,10.2353,9.7769,7.7315,12.7349,11.4943,7.2325,9.7556,7.2773,4.8682,6.2297,11.3395,14.2273,10.7011,12.0931,13.5801,11.9124,12857,443,1,0,1,13.4686,9.4645,10.9049,16.3619,13.0612,8.2221,11.5571,15.1955,11.472,7.759,9.1413,11.0496,10.0723,16.2546,11.5336,1,1,1,1,0,0,0,normal
v9-0029,8.3698,9.2418,13.6453,16.3129,11.3765,7.5129,16.2864,12.2566,10.1677,13.7157,16.2153,12.3983,11.0316,11.9359,11.7527,10.9365,6.4614,10.7475,12.7804,7.4628,7.6365,32737,80,1,1,1,14.428,11.2471,3.2337,8.5753,8.6582,12.0313,11.1382,10.6358,11.631,12.9637,15.6361,8.1162,8.8422,4.5831,8.6925,0,1,0,1,1,0,0,normal
v9-0030,9.0049,8.657,4.8927,17.5946,12.6562,7.6507,13.0622,7.463,11.7401,5.255,10.5463,13.2928,11.0051,5.5607,16.0748,8.2542,7.0373,12.259,7.8882,13.5708,8.5566,11515,3389,0,0,0,8.6857,11.2431,9.8401,6.6895,7.3295,6.8082,9.3104,11.6519,4.4487,8.3421,11.6571,12.284,5.0419,9.6266,11.9049,1,0,0,0,1,0,0,normal
v9-0031,8.2226,11.3597,9.2918,9.6867,11.2343,7.6957,12.5521,14.3475,7.6172,12.0165,8.3266,9.3781,11.0124,8.3571,10.0986,10.4777,12.3009,4.3331,9.5448,11.5555,9.2308,24011,3389,1,0,1,5.9103,5.7608,11.671,10.2889,15.8065,9.196,8.833,2.5854,8.6513,5.7019,5.2283,14.61,12.5164,11.2112,6.4898,1,1,0,1,1,0,0,normal
v9-0032,10.3044,5.4078,6.5303,9.4778,9.3499,7.5878,10.0164,8.4461,11.492,8.1913,10.1438,4.9133,11.3763,14.3033,10.2818,10.8285,7.8559,12.5907,14.7749,9.7661,9.299,48603,3389,1,1,0,11.9033,8.506,10.1479,6.8917,8.8598,7.7227,6.4171,7.9228,8.6747,11.7302,17.3366,13.111,9.0867,8.1668,8.6106,1,1,1,1,0,0,0,normal
v9-0033,11.5947,13.8207,9.598,13.1979,8.792,5.9752,8.3759,7.8296,12.832,6.2819,11.1943,10.6516,9.7992,12.9978,12.7019,6.6121,12.1154,10.8502,11.511,9.4397,11.0475,48891,3389,0,1,0,13.7397,6.9347,10.2577,12.6972,9.0994,5.0869,6.1143,8.9067,12.3366,10.6249,10.1983,3.8393,7.7526,11.0195,6.6613,1,0,1,1,1,0,0,normal
v9-0034,11.787,14.0527,6.9397,5.4917,12.4475,7.8505,6.4814,10.2906,7.3879,12.3365,13.3851,14.0841,10.4399,12.6166,11.0794,12.4091,13.033,10.8131,11.285,13.1186,5.1236,56239,80,0,0,0,12.5563,11.7358,9.515,8.9039,17.8166,10.6581,8.4835,9.577,7.1811,4.545,6.5292,9.8648,10.5244,16.5592,9.3278,1,0,0,1,1,0,0,normal
v9-0035,16.5663,13.7668,5.0292,9.4304,14.7577,10.4412,10.8635,9.2141,10.6869,12.1361,8.213,8.6839,13.2906,5.3473,8.2436,4.8937,10.0282,13.0403,6.6555,5.6306,7.1552,62638,22,1,1,1,7.1703,16.1396,10.9109,11.3748,10.0335,6.3357,13.6648,12.2594,7.0077,10.0638,12.3222,9.9511,8.2914,15.3028,6.849,1,0,1,0,1,1,0,normal
v9-0036,70.3462,69.562,67.8844,70.8487,74.9186,70.4609,74.1284,74.898,67.4488,64.1669,66.4053,68.4118,71.2591,67.8707,70.9612,73.0675,72.1914,71.111,68.5951,72.7233,68.592,45726,53,0,1,0,70.9923,69.69,72.7259,73.2992,73.3998,71.7311,67.9047,71.1077,71.2897,67.9111,67.9292,71.0592,67.3197,69.3075,69.2474,1,1,1,1,1,1,0,suspicious
v9-0037,14.9701,4.0051,10.4946,9.4289,10.1778,7.4297,10.6612,12.2197,7.298,8.5124,10.6677,9.3416,11.2298,6.5774,16.2714,12.7199,9.9956,12.4142,9.3376,9.065,5.6154,42481,22,1,0,1,8.0201,5.8417,13.1134,15.1354,14.7905,14.3525,9.3684,9.1715,11.7358,8.5513,11.7263,10.2855,9.8834,10.9603,5.729,0,1,0,0,1,1,0,normal
v9-0038,13.8488,10.7662,7.7479,11.6756,11.2895,13.6641,7.737,4.4869,13.9781,13.9222,6.5014,14.4948,12.7335,6.1741,8.1901,9.8881,11.0486,9.8989,5.7775,12.264,9.7223,57341,3389,0,0,0,15.8208,10.052,20.8002,10.1643,15.4005,12.0364,10.21,13.7966,10.0981,13.8228,11.6894,10.0592,8.3439,7.4322,8.3082,0,1,1,1,1,0,0,normal
v9-0039,9.8077,9.6869,9.5384,9.9459,7.867,7.5228,9.0931,4.2334,11.8809,12.8865,9.5566,11.5951,9.9758,4.7796,9.448,9.3835,8.4238,9.8995,12.1188,13.1145,8.5655,49261,53,0,0,1,12.0378,12.7953,11.7316,7.1021,10.9207,10.3723,9.6252,8.6893,13.2431,7.3928,7.9706,12.5889,10.9682,6.8766,11.3292,0,0,1,0,0,0,0,normal
v9-0040,6.2046,7.9546,7.7464,6.3728,8.0842,10.3715,9.124,6.1961,10.7206,9.7215,6.5299,9.9275,8.3599,7.508,8.4634,5.6962,8.5287,13.0641,11.8655,5.191,11.9952,12175,80,0,0,1,7.0883,7.2493,11.4863,15.106,10.3065,10.5403,10.1191,6.9533,13.2968,11.7359,10.5641,12.4362,8.0788,6.1569,9.5586,1,1,0,0,0,0,0,normal
